"date","book","game","game_id","prop_type","bet_level_1","bet_level_2","bet_level_3","bet_location","bet_status","prob_model","line_model","prob_book","line_book","edge","kelly","units","units_standardized","run_timestamp_utc","timestamp_id","play","result","units_bet","units_net","units_standardized_bet","units_standardized_net","unique_play"
2023-10-24,"FanDuel","LAL @ DEN",22300061,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0867,1053,0.0556,1700,0.0312,0.0165,1.6496,1.73642105263158,2023-10-24 23:21:00,1,"Taurean Prince","Loss",1.6496,-1.6496,1.73642105263158,-1.73642105263158,"FPTS_Taurean Prince_2023-10-24"
2023-10-24,"MGM","LAL @ DEN",22300061,"FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.0513,1848,0.0385,2500,0.0129,0.0067,0.6691,0.826049382716049,2023-10-24 23:21:00,1,"Austin Reaves_two_point","Loss",0.6691,-0.6691,0.826049382716049,-0.826049382716049,"FPTS Exact_Austin Reaves_two_point_2023-10-24"
2023-10-24,"Draft Kings","LAL @ DEN",22300061,"FPTS Team","First FGM","Player","Team","Home/Away","Favorite/Underdog",0.15,567,0.1333,650,0.0167,0.0096,0.9629,0.633486842105263,2023-10-24 23:21:00,1,"Kentavious Caldwell-Pope","Loss",0.9629,-0.9629,0.633486842105263,-0.633486842105263,"FPTS Team_Kentavious Caldwell-Pope_2023-10-24"
2023-10-24,"FanDuel","LAL @ DEN",22300061,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1711,484,0.1053,850,0.0659,0.0368,3.6817,2.42217105263158,2023-10-24 23:21:00,1,"Taurean Prince","Loss",3.6817,-3.6817,2.42217105263158,-2.42217105263158,"FPTS Team_Taurean Prince_2023-10-24"
2023-10-24,"PointsBet","LAL @ DEN",22300061,"FTTS","First Points","Team","Quarter","Home/Away","Favorite/Underdog",0.4933,103,0.4651,115,0.0282,0.0264,1.3188,0.962627737226277,2023-10-24 23:21:00,1,"1Q_DEN","Loss",1.3188,-1.3188,0.962627737226277,-0.962627737226277,"FTTS_1Q_DEN_2023-10-24"
2023-10-24,"MGM","LAL @ DEN",22300061,"Win Tip","Win Tip","Player","Game","Home/Away","Favorite/Underdog",0.5778,-137,0.5455,-120,0.0323,0.0356,1.7782,0.697333333333333,2023-10-24 23:21:00,1,"Anthony Davis","Win",1.7782,1.48183333333333,0.697333333333333,0.581111111111111,"Win Tip_Anthony Davis_2023-10-24"
2023-10-24,"FanDuel","PHX @ GSW",22300062,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0691,1348,0.0526,1800,0.0164,0.0087,0.8679,0.913578947368421,2023-10-24 23:21:00,1,"Chris Paul","Loss",0.8679,-0.8679,0.913578947368421,-0.913578947368421,"FPTS_Chris Paul_2023-10-24"
2023-10-24,"MGM","PHX @ GSW",22300062,"FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.078,1182,0.0625,1500,0.0155,0.0083,0.8256,0.869052631578947,2023-10-25 00:51:27,2,"Grayson Allen","Loss",0.8256,-0.8256,0.869052631578948,-0.869052631578948,"FPTS_Grayson Allen_2023-10-24"
2023-10-24,"MGM","PHX @ GSW",22300062,"FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.0776,1189,0.0588,1600,0.0187,0.0099,0.9949,1.04726315789474,2023-10-25 00:51:27,2,"Josh Okogie","Loss",0.9949,-0.9949,1.04726315789474,-1.04726315789474,"FPTS_Josh Okogie_2023-10-24"
2023-10-24,"FanDuel","PHX @ GSW",22300062,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1401,614,0.1176,750,0.0225,0.0127,1.2744,1.34147368421053,2023-10-24 23:21:00,1,"Jusuf Nurkic","Win",1.2744,9.558,1.34147368421053,10.0610526315789,"FPTS_Jusuf Nurkic_2023-10-24"
2023-10-24,"FanDuel","PHX @ GSW",22300062,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1404,612,0.1111,800,0.0293,0.0165,1.6455,1.7321052631579,2023-10-25 00:51:27,2,"Jusuf Nurkic","Win",0.3711,2.9688,0.390631578947369,3.12505263157895,"FPTS_Jusuf Nurkic_2023-10-24"
2023-10-24,"MGM","PHX @ GSW",22300062,"FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.0371,2598,0.0244,4000,0.0127,0.0065,0.6499,0.802345679012346,2023-10-25 00:51:27,2,"Grayson Allen_two_point","Loss",0.6499,-0.6499,0.802345679012346,-0.802345679012346,"FPTS Exact_Grayson Allen_two_point_2023-10-24"
2023-10-24,"MGM","PHX @ GSW",22300062,"FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.0545,1736,0.0435,2200,0.011,0.0057,0.574,0.708641975308642,2023-10-25 00:51:27,2,"Josh Okogie_two_point","Loss",0.574,-0.574,0.708641975308642,-0.708641975308642,"FPTS Exact_Josh Okogie_two_point_2023-10-24"
2023-10-24,"MGM","PHX @ GSW",22300062,"FPTS Exact","First FGM","Player","Exact","Home/Away","Favorite/Underdog",0.0287,3386,0.0149,6600,0.0138,0.007,0.6983,0.862098765432099,2023-10-25 00:51:27,2,"Jusuf Nurkic_three_point","Loss",0.6983,-0.6983,0.862098765432098,-0.862098765432098,"FPTS Exact_Jusuf Nurkic_three_point_2023-10-24"
2023-10-24,"FanDuel","PHX @ GSW",22300062,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1529,554,0.1176,750,0.0353,0.02,1.9989,1.31506578947368,2023-10-24 23:21:00,1,"Chris Paul","Loss",1.9989,-1.9989,1.31506578947368,-1.31506578947368,"FPTS Team_Chris Paul_2023-10-24"
