"game_date","game","quarter","team_abbreviation","quarter_team","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model","units_standardized"
2025-05-16,"LAS @ GSV","1Q","LAS","1Q_LAS",2025-05-16 13:17:02.467823,"fd",0.5968,-148,-0.1023,-0.1268,-6.3411,0.4945,102,-4.6285401459854
2025-05-16,"MIN @ DAL","1Q","DAL","1Q_DAL",2025-05-16 13:17:02.467823,"fd",0.5652,-130,-0.0253,-0.0291,-1.4555,0.5399,-117,-1.06240875912409
2025-05-16,"ATL @ WAS","1Q","WAS","1Q_WAS",2025-05-16 13:17:02.467823,"fd",0.5,100,-0.0657,-0.0657,-3.2866,0.4343,130,-2.39897810218978
2025-05-16,"MIN @ DAL","1Q","MIN","1Q_MIN",2025-05-16 13:17:02.467823,"fd",0.5,100,-0.0399,-0.0399,-1.9952,0.4601,117,-1.4563503649635
2025-05-16,"ATL @ WAS","1Q","ATL","1Q_ATL",2025-05-16 13:17:02.467823,"fd",0.5652,-130,5e-04,6e-04,0.0296,0.5657,-130,0.0216058394160584
2025-05-16,"LAS @ GSV","1Q","GSV","1Q_GSV",2025-05-16 13:17:02.467823,"fd",0.4673,114,0.0382,0.0359,1.7932,0.5055,-102,1.30890510948905
2025-05-16,"LAS @ GSV","1Q","LAS","1Q_LAS",2025-05-16 15:12:44.111518,"fd",0.5935,-146,-0.099,-0.1218,-6.0883,0.4945,102,-4.44401459854015
2025-05-16,"MIN @ DAL","1Q","DAL","1Q_DAL",2025-05-16 15:12:44.111518,"fd",0.5652,-130,-0.0253,-0.0291,-1.4555,0.5399,-117,-1.06240875912409
2025-05-16,"ATL @ WAS","1Q","WAS","1Q_WAS",2025-05-16 15:12:44.111518,"fd",0.505,-102,-0.0707,-0.0714,-3.5695,0.4343,130,-2.60547445255474
2025-05-16,"MIN @ DAL","1Q","MIN","1Q_MIN",2025-05-16 15:12:44.111518,"fd",0.5,100,-0.0399,-0.0399,-1.9952,0.4601,117,-1.4563503649635
2025-05-16,"ATL @ WAS","1Q","ATL","1Q_ATL",2025-05-16 15:12:44.111518,"fd",0.5614,-128,0.0043,0.0049,0.2467,0.5657,-130,0.18007299270073
2025-05-16,"LAS @ GSV","1Q","GSV","1Q_GSV",2025-05-16 15:12:44.111518,"fd",0.4717,112,0.0338,0.032,1.5996,0.5055,-102,1.16759124087591
2025-05-16,"LAS @ GSV","1Q","LAS","1Q_LAS",2025-05-16 16:53:24.689742,"fd",0.5935,-146,-0.099,-0.1218,-6.0883,0.4945,102,-4.44401459854015
2025-05-16,"MIN @ DAL","1Q","DAL","1Q_DAL",2025-05-16 16:53:24.689742,"fd",0.5652,-130,-0.0253,-0.0291,-1.4555,0.5399,-117,-1.06240875912409
2025-05-16,"ATL @ WAS","1Q","WAS","1Q_WAS",2025-05-16 16:53:24.689742,"fd",0.4237,136,0.0105,0.0091,0.4572,0.4343,130,0.333722627737226
2025-05-16,"MIN @ DAL","1Q","MIN","1Q_MIN",2025-05-16 16:53:24.689742,"fd",0.5,100,-0.0399,-0.0399,-1.9952,0.4601,117,-1.4563503649635
2025-05-16,"ATL @ WAS","1Q","ATL","1Q_ATL",2025-05-16 16:53:24.689742,"fd",0.6403,-178,-0.0746,-0.1036,-5.1816,0.5657,-130,-3.7821897810219
2025-05-16,"LAS @ GSV","1Q","GSV","1Q_GSV",2025-05-16 16:53:24.689742,"fd",0.4717,112,0.0338,0.032,1.5996,0.5055,-102,1.16759124087591
2025-05-16,"LAS @ GSV","1Q","LAS","1Q_LAS",2025-05-16 18:10:49.006167,"fd",0.5935,-146,-0.099,-0.1218,-6.0883,0.4945,102,-4.44401459854015
2025-05-16,"MIN @ DAL","1Q","DAL","1Q_DAL",2025-05-16 18:10:49.006167,"fd",0.5652,-130,-0.0253,-0.0291,-1.4555,0.5399,-117,-1.06240875912409
2025-05-16,"ATL @ WAS","1Q","WAS","1Q_WAS",2025-05-16 18:10:49.006167,"fd",0.4237,136,0.0105,0.0091,0.4572,0.4343,130,0.333722627737226
2025-05-16,"MIN @ DAL","1Q","MIN","1Q_MIN",2025-05-16 18:10:49.006167,"fd",0.5,100,-0.0399,-0.0399,-1.9952,0.4601,117,-1.4563503649635
2025-05-16,"ATL @ WAS","1Q","ATL","1Q_ATL",2025-05-16 18:10:49.006167,"fd",0.6403,-178,-0.0746,-0.1036,-5.1816,0.5657,-130,-3.7821897810219
2025-05-16,"LAS @ GSV","1Q","GSV","1Q_GSV",2025-05-16 18:10:49.006167,"fd",0.4717,112,0.0338,0.032,1.5996,0.5055,-102,1.16759124087591
2025-05-16,"LAS @ GSV","1Q","LAS","1Q_LAS",2025-05-16 18:48:56.654609,"fd",0.5935,-146,-0.099,-0.1218,-6.0883,0.4945,102,-4.44401459854015
2025-05-16,"MIN @ DAL","1Q","DAL","1Q_DAL",2025-05-16 18:48:56.654609,"fd",0.5614,-128,-0.0215,-0.0245,-1.2255,0.5399,-117,-0.894525547445255
2025-05-16,"ATL @ WAS","1Q","WAS","1Q_WAS",2025-05-16 18:48:56.654609,"fd",0.4237,136,0.0105,0.0091,0.4572,0.4343,130,0.333722627737226
2025-05-16,"MIN @ DAL","1Q","MIN","1Q_MIN",2025-05-16 18:48:56.654609,"fd",0.505,-102,-0.0449,-0.0453,-2.2652,0.4601,117,-1.65343065693431
2025-05-16,"ATL @ WAS","1Q","ATL","1Q_ATL",2025-05-16 18:48:56.654609,"fd",0.6403,-178,-0.0746,-0.1036,-5.1816,0.5657,-130,-3.7821897810219
2025-05-16,"LAS @ GSV","1Q","GSV","1Q_GSV",2025-05-16 18:48:56.654609,"fd",0.4717,112,0.0338,0.032,1.5996,0.5055,-102,1.16759124087591
2025-05-16,"LAS @ GSV","1Q","LAS","1Q_LAS",2025-05-16 19:47:54.328062,"fd",0.5902,-144,-0.0957,-0.1167,-5.8356,0.4945,102,-4.25956204379562
2025-05-16,"MIN @ DAL","1Q","DAL","1Q_DAL",2025-05-16 19:47:54.328062,"fd",0.5455,-120,-0.0056,-0.0061,-0.3053,0.5399,-117,-0.222846715328467
2025-05-16,"ATL @ WAS","1Q","WAS","1Q_WAS",2025-05-16 19:47:54.328062,"fd",0.4237,136,0.0105,0.0091,0.4572,0.4343,130,0.333722627737226
2025-05-16,"MIN @ DAL","1Q","MIN","1Q_MIN",2025-05-16 19:47:54.328062,"fd",0.5192,-108,-0.0591,-0.0615,-3.075,0.4601,117,-2.24452554744526
2025-05-16,"ATL @ WAS","1Q","ATL","1Q_ATL",2025-05-16 19:47:54.328062,"fd",0.6403,-178,-0.0746,-0.1036,-5.1816,0.5657,-130,-3.7821897810219
2025-05-16,"LAS @ GSV","1Q","GSV","1Q_GSV",2025-05-16 19:47:54.328062,"fd",0.4762,110,0.0293,0.028,1.3989,0.5055,-102,1.02109489051095
2025-05-16,"LAS @ GSV","1Q","LAS","1Q_LAS",2025-05-16 20:59:15.154511,"fd",0.5935,-146,-0.099,-0.1218,-6.0883,0.4945,102,-4.44401459854015
2025-05-16,"MIN @ DAL","1Q","DAL","1Q_DAL",2025-05-16 20:59:15.154511,"fd",0.5455,-120,-0.0056,-0.0061,-0.3053,0.5399,-117,-0.222846715328467
2025-05-16,"ATL @ WAS","1Q","WAS","1Q_WAS",2025-05-16 20:59:15.154511,"fd",0.4167,140,0.0176,0.0151,0.7543,0.4343,130,0.550583941605839
2025-05-16,"MIN @ DAL","1Q","MIN","1Q_MIN",2025-05-16 20:59:15.154511,"fd",0.5192,-108,-0.0591,-0.0615,-3.075,0.4601,117,-2.24452554744526
2025-05-16,"ATL @ WAS","1Q","ATL","1Q_ATL",2025-05-16 20:59:15.154511,"fd",0.6479,-184,-0.0822,-0.1167,-5.833,0.5657,-130,-4.25766423357664
2025-05-16,"LAS @ GSV","1Q","GSV","1Q_GSV",2025-05-16 20:59:15.154511,"fd",0.4717,112,0.0338,0.032,1.5996,0.5055,-102,1.16759124087591
2025-05-16,"LAS @ GSV","1Q","LAS","1Q_LAS",2025-05-16 21:44:01.04753,"fd",0.5935,-146,-0.099,-0.1218,-6.0883,0.4945,102,-4.44401459854015
2025-05-16,"MIN @ DAL","1Q","DAL","1Q_DAL",2025-05-16 21:44:01.04753,"fd",0.5455,-120,-0.0056,-0.0061,-0.3053,0.5399,-117,-0.222846715328467
2025-05-16,"ATL @ WAS","1Q","WAS","1Q_WAS",2025-05-16 21:44:01.04753,"fd",0.4167,140,0.0176,0.0151,0.7543,0.4343,130,0.550583941605839
2025-05-16,"MIN @ DAL","1Q","MIN","1Q_MIN",2025-05-16 21:44:01.04753,"fd",0.5192,-108,-0.0591,-0.0615,-3.075,0.4601,117,-2.24452554744526
2025-05-16,"ATL @ WAS","1Q","ATL","1Q_ATL",2025-05-16 21:44:01.04753,"fd",0.6479,-184,-0.0822,-0.1167,-5.833,0.5657,-130,-4.25766423357664
2025-05-16,"LAS @ GSV","1Q","GSV","1Q_GSV",2025-05-16 21:44:01.04753,"fd",0.4717,112,0.0338,0.032,1.5996,0.5055,-102,1.16759124087591
2025-05-16,"LAS @ GSV","1Q","LAS","1Q_LAS",2025-05-16 23:24:57.412192,"fd",0.5935,-146,-0.099,-0.1218,-6.0883,0.4945,102,-4.44401459854015
2025-05-16,"MIN @ DAL","1Q","DAL","1Q_DAL",2025-05-16 23:24:57.412192,"fd",0.5495,-122,-0.0612,-0.0679,-3.396,0.4884,105,-2.47883211678832
2025-05-16,"ATL @ WAS","1Q","WAS","1Q_WAS",2025-05-16 23:24:57.412192,"fd",0.4167,140,0.0176,0.0151,0.7543,0.4343,130,0.550583941605839
2025-05-16,"MIN @ DAL","1Q","MIN","1Q_MIN",2025-05-16 23:24:57.412192,"fd",0.5146,-106,-0.0029,-0.003,-0.1505,0.5116,-105,-0.10985401459854
2025-05-16,"ATL @ WAS","1Q","ATL","1Q_ATL",2025-05-16 23:24:57.412192,"fd",0.6479,-184,-0.0822,-0.1167,-5.833,0.5657,-130,-4.25766423357664
2025-05-16,"LAS @ GSV","1Q","GSV","1Q_GSV",2025-05-16 23:24:57.412192,"fd",0.4717,112,0.0338,0.032,1.5996,0.5055,-102,1.16759124087591
2025-05-16,"LAS @ GSV","1Q","LAS","1Q_LAS",2025-05-16 23:31:00.449697,"fd",0.5935,-146,-0.099,-0.1218,-6.0883,0.4945,102,-4.44401459854015
2025-05-16,"MIN @ DAL","1Q","DAL","1Q_DAL",2025-05-16 23:31:00.449697,"fd",0.5495,-122,-0.0612,-0.0679,-3.396,0.4884,105,-2.47883211678832
2025-05-16,"ATL @ WAS","1Q","WAS","1Q_WAS",2025-05-16 23:31:00.449697,"fd",0.4167,140,0.0176,0.0151,0.7543,0.4343,130,0.550583941605839
2025-05-16,"MIN @ DAL","1Q","MIN","1Q_MIN",2025-05-16 23:31:00.449697,"fd",0.5146,-106,-0.0029,-0.003,-0.1505,0.5116,-105,-0.10985401459854
2025-05-16,"ATL @ WAS","1Q","ATL","1Q_ATL",2025-05-16 23:31:00.449697,"fd",0.6479,-184,-0.0822,-0.1167,-5.833,0.5657,-130,-4.25766423357664
2025-05-16,"LAS @ GSV","1Q","GSV","1Q_GSV",2025-05-16 23:31:00.449697,"fd",0.4717,112,0.0338,0.032,1.5996,0.5055,-102,1.16759124087591
2025-05-16,"LAS @ GSV","1Q","LAS","1Q_LAS",2025-05-17 00:42:51.942497,"fd",0.5935,-146,-0.099,-0.1218,-6.0883,0.4945,102,-4.44401459854015
2025-05-16,"LAS @ GSV","1Q","GSV","1Q_GSV",2025-05-17 00:42:51.942497,"fd",0.4717,112,0.0338,0.032,1.5996,0.5055,-102,1.16759124087591
2025-05-17,"LVA @ NYL","1Q","NYL","1Q_NYL",2025-05-17 14:13:56.051273,"fd",0.5935,-146,-0.0605,-0.0744,-3.7182,0.533,-114,-2.71401459854015
