"game_date","game","player_id","player_name","team_abbreviation","shot_type","shot_player","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model","units_standardized"
2026-05-08,"WAS @ TOR","1629497","Marina Mabrey","TOR","other","Marina Mabrey other",2026-05-08 15:46:44.964326,"fd",0.0357,2700,0.0103,0.0053,0.5347,0.046,2073,0.798059701492537
2026-05-08,"WAS @ TOR","1631022","Shakira Austin","WAS","layup","Shakira Austin layup",2026-05-08 15:46:44.964326,"fd",0.1053,850,-0.0276,-0.0154,-1.5406,0.0777,1187,-2.29940298507463
2026-05-08,"WAS @ TOR","1631022","Shakira Austin","WAS","other","Shakira Austin other",2026-05-08 15:46:44.964326,"fd",0.0588,1600,0.0021,0.0011,0.1117,0.0609,1541,0.166716417910448
2026-05-08,"WAS @ TOR","1631055","Nyara Sabally","TOR","layup","Nyara Sabally layup",2026-05-08 15:46:44.964326,"fd",0.0833,1100,-0.0227,-0.0124,-1.2389,0.0606,1550,-1.84910447761194
2026-05-08,"WAS @ TOR","1631055","Nyara Sabally","TOR","other","Nyara Sabally other",2026-05-08 15:46:44.964326,"fd",0.0323,3000,-0.0041,-0.0021,-0.2119,0.0282,3452,-0.316268656716418
2026-05-08,"WAS @ TOR","1642781","Georgia Amoore","WAS","layup","Georgia Amoore layup",2026-05-08 15:46:44.964326,"fd",0.0435,2200,-0.0253,-0.0132,-1.3223,0.0182,5400,-1.97358208955224
2026-05-08,"WAS @ TOR","1642781","Georgia Amoore","WAS","other","Georgia Amoore other",2026-05-08 15:46:44.964326,"fd",0.0244,4000,-0.0096,-0.0049,-0.4898,0.0148,6641,-0.731044776119403
2026-05-08,"WAS @ TOR","1642785","Sonia Citron","WAS","layup","Sonia Citron layup",2026-05-08 15:46:44.964326,"fd",0.0435,2200,-0.0096,-0.005,-0.5017,0.0339,2852,-0.748805970149254
2026-05-08,"WAS @ TOR","1642785","Sonia Citron","WAS","other","Sonia Citron other",2026-05-08 15:46:44.964326,"fd",0.0323,3000,-0.0051,-0.0026,-0.2627,0.0272,3580,-0.392089552238806
2026-05-08,"WAS @ TOR","1642792","Kiki Iriafen","WAS","layup","Kiki Iriafen layup",2026-05-08 15:46:44.964326,"fd",0.0909,1000,-0.0125,-0.0069,-0.6871,0.0784,1175,-1.0255223880597
2026-05-08,"WAS @ TOR","1642792","Kiki Iriafen","WAS","other","Kiki Iriafen other",2026-05-08 15:46:44.964326,"fd",0.0385,2500,0.0194,0.0101,1.0063,0.0578,1630,1.50194029850746
2026-05-08,"WAS @ TOR","1643427","Lauren Betts","WAS","layup","Lauren Betts layup",2026-05-08 15:46:44.964326,"fd",0.05,1900,-0.0318,-0.0167,-1.6746,0.0182,5400,-2.49940298507463
2026-05-08,"WAS @ TOR","1643427","Lauren Betts","WAS","other","Lauren Betts other",2026-05-08 15:46:44.964326,"fd",0.0385,2500,-0.0236,-0.0123,-1.2286,0.0148,6641,-1.83373134328358
2026-05-08,"GSV @ SEA","1628882","Lexie Brown","SEA","layup","Lexie Brown layup",2026-05-08 15:46:44.964326,"fd",0.0278,3500,0.0042,0.0022,0.2184,0.032,3023,0.325970149253731
2026-05-08,"GSV @ SEA","1628882","Lexie Brown","SEA","other","Lexie Brown other",2026-05-08 15:46:44.964326,"fd",0.0244,4000,0.003,0.0015,0.1545,0.0274,3549,0.230597014925373
2026-05-08,"GSV @ SEA","1628931","Gabby Williams","GSV","layup","Gabby Williams layup",2026-05-08 15:46:44.964326,"fd",0.0476,2000,-0.0168,-0.0088,-0.8819,0.0308,3145,-1.31626865671642
2026-05-08,"GSV @ SEA","1628931","Gabby Williams","GSV","other","Gabby Williams other",2026-05-08 15:46:44.964326,"fd",0.0294,3300,-0.0028,-0.0014,-0.1445,0.0266,3658,-0.215671641791045
2026-05-08,"GSV @ SEA","1629567","Natisha Hiedeman","SEA","layup","Natisha Hiedeman layup",2026-05-08 15:46:44.964326,"fd",0.05,1900,0.0046,0.0024,0.2395,0.0546,1733,0.357462686567164
2026-05-08,"GSV @ SEA","1629567","Natisha Hiedeman","SEA","other","Natisha Hiedeman other",2026-05-08 15:46:44.964326,"fd",0.0278,3500,0.0146,0.0075,0.7521,0.0424,2258,1.12253731343284
2026-05-08,"GSV @ SEA","1631007","Veronica Burton","GSV","layup","Veronica Burton layup",2026-05-08 15:46:44.964326,"fd",0.0556,1700,-0.0163,-0.0086,-0.8606,0.0393,2444,-1.2844776119403
2026-05-08,"GSV @ SEA","1631007","Veronica Burton","GSV","other","Veronica Burton other",2026-05-08 15:46:44.964326,"fd",0.0196,5000,0.0077,0.0039,0.3907,0.0273,3567,0.583134328358209
2026-05-08,"GSV @ SEA","1642767","Janelle Salaun","GSV","layup","Janelle Salaun layup",2026-05-08 15:46:44.964326,"fd",0.0294,3300,-0.0091,-0.0047,-0.4688,0.0203,4823,-0.699701492537313
2026-05-08,"GSV @ SEA","1642767","Janelle Salaun","GSV","other","Janelle Salaun other",2026-05-08 15:46:44.964326,"fd",0.0357,2700,-0.0186,-0.0096,-0.9643,0.0171,5742,-1.43925373134328
2026-05-08,"GSV @ SEA","1642798","Dominique Malonga","SEA","layup","Dominique Malonga layup",2026-05-08 15:46:44.964326,"fd",0.1053,850,-0.0443,-0.0248,-2.4767,0.0609,1541,-3.6965671641791
2026-05-08,"GSV @ SEA","1642798","Dominique Malonga","SEA","other","Dominique Malonga other",2026-05-08 15:46:44.964326,"fd",0.0909,1000,-0.0481,-0.0264,-2.6442,0.0428,2235,-3.9465671641791
2026-05-08,"GSV @ SEA","1643428","Flau'jae Johnson","SEA","layup","Flau'jae Johnson layup",2026-05-08 15:46:44.964326,"fd",0.0556,1700,-0.0261,-0.0138,-1.3813,0.0295,3294,-2.06164179104478
2026-05-08,"GSV @ SEA","1643428","Flau'jae Johnson","SEA","other","Flau'jae Johnson other",2026-05-08 15:46:44.964326,"fd",0.0385,2500,-0.0126,-0.0065,-0.6543,0.0259,3764,-0.976567164179104
2026-05-08,"GSV @ SEA","203828","Stefanie Dolson","SEA","layup","Stefanie Dolson layup",2026-05-08 15:46:44.964326,"fd",0.0435,2200,-0.0094,-0.0049,-0.4899,0.0341,2832,-0.731194029850746
2026-05-08,"GSV @ SEA","203828","Stefanie Dolson","SEA","other","Stefanie Dolson other",2026-05-08 15:46:44.964326,"fd",0.0435,2200,-0.013,-0.0068,-0.6815,0.0304,3185,-1.01716417910448
2026-05-08,"GSV @ SEA","203866","Kayla Thornton","GSV","layup","Kayla Thornton layup",2026-05-08 15:46:44.964326,"fd",0.0588,1600,-0.02,-0.0106,-1.0628,0.0388,2476,-1.58626865671642
2026-05-08,"GSV @ SEA","203866","Kayla Thornton","GSV","other","Kayla Thornton other",2026-05-08 15:46:44.964326,"fd",0.0357,2700,0.0037,0.0019,0.1941,0.0395,2434,0.289701492537313
2026-05-08,"CON @ NYL","1627668","Breanna Stewart","NYL","layup","Breanna Stewart layup",2026-05-08 16:44:49.105987,"fd",0.0714,1300,-0.0216,-0.0116,-1.1645,0.0498,1908,-1.73805970149254
2026-05-08,"CON @ NYL","1627668","Breanna Stewart","NYL","other","Breanna Stewart other",2026-05-08 16:44:49.105987,"fd",0.0588,1600,-0.0086,-0.0046,-0.4551,0.0503,1890,-0.679253731343284
2026-05-08,"CON @ NYL","1627673","Jonquel Jones","NYL","layup","Jonquel Jones layup",2026-05-08 16:44:49.105987,"fd",0.0588,1600,-0.0127,-0.0067,-0.6734,0.0461,2067,-1.00507462686567
2026-05-08,"CON @ NYL","1627673","Jonquel Jones","NYL","other","Jonquel Jones other",2026-05-08 16:44:49.105987,"fd",0.0323,3000,-0.0015,-8e-04,-0.0785,0.0307,3153,-0.117164179104478
2026-05-08,"CON @ NYL","1629546","Marine Johannes","NYL","layup","Marine Johannes layup",2026-05-08 16:44:49.105987,"fd",0.0196,5000,1e-04,1e-04,0.0069,0.0197,4965,0.0102985074626866
2026-05-08,"CON @ NYL","1629546","Marine Johannes","NYL","other","Marine Johannes other",2026-05-08 16:44:49.105987,"fd",0.0217,4500,-0.0053,-0.0027,-0.2706,0.0164,5981,-0.403880597014925
2026-05-08,"CON @ NYL","1629568","Kennedy Burke","CON","layup","Kennedy Burke layup",2026-05-08 16:44:49.105987,"fd",0.05,1900,-0.0138,-0.0073,-0.7267,0.0362,2663,-1.08462686567164
2026-05-08,"CON @ NYL","1629568","Kennedy Burke","CON","other","Kennedy Burke other",2026-05-08 16:44:49.105987,"fd",0.0196,5000,-0.0016,-8e-04,-0.0799,0.018,5443,-0.119253731343284
2026-05-08,"CON @ NYL","1642800","Aneesah Morrow","CON","layup","Aneesah Morrow layup",2026-05-08 16:44:49.105987,"fd",0.0909,1000,-0.0495,-0.0272,-2.7199,0.0415,2312,-4.05955223880597
2026-05-08,"CON @ NYL","1642800","Aneesah Morrow","CON","other","Aneesah Morrow other",2026-05-08 16:44:49.105987,"fd",0.0435,2200,-0.0183,-0.0096,-0.957,0.0252,3873,-1.42835820895522
2026-05-08,"CON @ NYL","1642809","Saniya Rivers","CON","layup","Saniya Rivers layup",2026-05-08 16:44:49.105987,"fd",0.0323,3000,-0.0023,-0.0012,-0.1184,0.03,3237,-0.176716417910448
2026-05-08,"CON @ NYL","1642809","Saniya Rivers","CON","other","Saniya Rivers other",2026-05-08 16:44:49.105987,"fd",0.0385,2500,-0.0097,-0.0051,-0.5055,0.0287,3379,-0.754477611940298
2026-05-08,"CON @ NYL","203398","Brittney Griner","CON","layup","Brittney Griner layup",2026-05-08 16:44:49.105987,"fd",0.0769,1200,-0.0163,-0.0088,-0.8809,0.0607,1549,-1.31477611940298
2026-05-08,"CON @ NYL","203398","Brittney Griner","CON","other","Brittney Griner other",2026-05-08 16:44:49.105987,"fd",0.125,700,-0.0553,-0.0316,-3.1585,0.0697,1334,-4.71417910447761
2026-05-08,"CON @ NYL","203822","Rebekah Gardner","NYL","layup","Rebekah Gardner layup",2026-05-08 16:44:49.105987,"fd",0.05,1900,-0.0047,-0.0024,-0.2449,0.0453,2105,-0.365522388059701
2026-05-08,"CON @ NYL","203822","Rebekah Gardner","NYL","other","Rebekah Gardner other",2026-05-08 16:44:49.105987,"fd",0.0196,5000,-3e-04,-2e-04,-0.0165,0.0193,5086,-0.0246268656716418
2026-05-08,"CON @ NYL","204335","Betnijah Laney-Hamilton","NYL","layup","Betnijah Laney-Hamilton layup",2026-05-08 16:44:49.105987,"fd",0.0357,2700,-0.009,-0.0046,-0.4641,0.0268,3636,-0.692686567164179
2026-05-08,"CON @ NYL","204335","Betnijah Laney-Hamilton","NYL","other","Betnijah Laney-Hamilton other",2026-05-08 16:44:49.105987,"fd",0.0323,3000,-0.0083,-0.0043,-0.4289,0.024,4074,-0.640149253731343
2026-05-08,"WAS @ TOR","1627700","Julie Allemand","TOR","layup","Julie Allemand layup",2026-05-08 16:44:49.105987,"fd",0.0294,3300,0.0013,7e-04,0.0654,0.0307,3159,0.0976119402985075
2026-05-08,"WAS @ TOR","1627700","Julie Allemand","TOR","other","Julie Allemand other",2026-05-08 16:44:49.105987,"fd",0.0196,5000,3e-04,2e-04,0.0162,0.0199,4919,0.0241791044776119
2026-05-08,"WAS @ TOR","1627701","Temi Fagbenle","TOR","layup","Temi Fagbenle layup",2026-05-08 16:44:49.105987,"fd",0.1053,850,-0.0774,-0.0433,-4.3271,0.0278,3493,-6.45835820895522
2026-05-08,"WAS @ TOR","1627701","Temi Fagbenle","TOR","other","Temi Fagbenle other",2026-05-08 16:44:49.105987,"fd",0.05,1900,-0.0257,-0.0135,-1.3503,0.0243,4008,-2.01537313432836
2026-05-08,"WAS @ TOR","1628279","Brittney Sykes","TOR","layup","Brittney Sykes layup",2026-05-08 16:44:49.105987,"fd",0.0556,1700,-0.0048,-0.0026,-0.2552,0.0507,1871,-0.38089552238806
2026-05-08,"WAS @ TOR","1628279","Brittney Sykes","TOR","other","Brittney Sykes other",2026-05-08 16:44:49.105987,"fd",0.0196,5000,0.0197,0.01,1.0028,0.0393,2446,1.49671641791045
2026-05-08,"WAS @ TOR","1629497","Marina Mabrey","TOR","layup","Marina Mabrey layup",2026-05-08 16:44:49.105987,"fd",0.0278,3500,0.0108,0.0055,0.553,0.0385,2495,0.825373134328358
2026-05-08,"WAS @ TOR","1629497","Marina Mabrey","TOR","other","Marina Mabrey other",2026-05-08 16:44:49.105987,"fd",0.0357,2700,0.0103,0.0053,0.5347,0.046,2073,0.798059701492537
2026-05-08,"WAS @ TOR","1631022","Shakira Austin","WAS","layup","Shakira Austin layup",2026-05-08 16:44:49.105987,"fd",0.1053,850,-0.0276,-0.0154,-1.5406,0.0777,1187,-2.29940298507463
2026-05-08,"WAS @ TOR","1631022","Shakira Austin","WAS","other","Shakira Austin other",2026-05-08 16:44:49.105987,"fd",0.0588,1600,0.0021,0.0011,0.1117,0.0609,1541,0.166716417910448
2026-05-08,"WAS @ TOR","1631055","Nyara Sabally","TOR","layup","Nyara Sabally layup",2026-05-08 16:44:49.105987,"fd",0.0833,1100,-0.0227,-0.0124,-1.2389,0.0606,1550,-1.84910447761194
2026-05-08,"WAS @ TOR","1631055","Nyara Sabally","TOR","other","Nyara Sabally other",2026-05-08 16:44:49.105987,"fd",0.0323,3000,-0.0041,-0.0021,-0.2119,0.0282,3452,-0.316268656716418
2026-05-08,"WAS @ TOR","1642781","Georgia Amoore","WAS","layup","Georgia Amoore layup",2026-05-08 16:44:49.105987,"fd",0.0435,2200,-0.0253,-0.0132,-1.3223,0.0182,5400,-1.97358208955224
2026-05-08,"WAS @ TOR","1642781","Georgia Amoore","WAS","other","Georgia Amoore other",2026-05-08 16:44:49.105987,"fd",0.0244,4000,-0.0096,-0.0049,-0.4898,0.0148,6641,-0.731044776119403
2026-05-08,"WAS @ TOR","1642785","Sonia Citron","WAS","layup","Sonia Citron layup",2026-05-08 16:44:49.105987,"fd",0.0435,2200,-0.0096,-0.005,-0.5017,0.0339,2852,-0.748805970149254
2026-05-08,"WAS @ TOR","1642785","Sonia Citron","WAS","other","Sonia Citron other",2026-05-08 16:44:49.105987,"fd",0.0323,3000,-0.0051,-0.0026,-0.2627,0.0272,3580,-0.392089552238806
2026-05-08,"WAS @ TOR","1642792","Kiki Iriafen","WAS","layup","Kiki Iriafen layup",2026-05-08 16:44:49.105987,"fd",0.0909,1000,-0.0125,-0.0069,-0.6871,0.0784,1175,-1.0255223880597
2026-05-08,"WAS @ TOR","1642792","Kiki Iriafen","WAS","other","Kiki Iriafen other",2026-05-08 16:44:49.105987,"fd",0.0385,2500,0.0194,0.0101,1.0063,0.0578,1630,1.50194029850746
2026-05-08,"WAS @ TOR","1643427","Lauren Betts","WAS","layup","Lauren Betts layup",2026-05-08 16:44:49.105987,"fd",0.05,1900,-0.0318,-0.0167,-1.6746,0.0182,5400,-2.49940298507463
2026-05-08,"WAS @ TOR","1643427","Lauren Betts","WAS","other","Lauren Betts other",2026-05-08 16:44:49.105987,"fd",0.0385,2500,-0.0236,-0.0123,-1.2286,0.0148,6641,-1.83373134328358
