"game_date","game","player_id","player_name","team_abbreviation","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model","units_standardized"
2026-05-08,"CON @ NYL","1627668","Breanna Stewart","NYL",2026-05-08 15:46:44.877917,"csr",0.1818,450,-0.0475,-0.029,-2.9044,0.1343,645,-2.46135593220339
2026-05-08,"CON @ NYL","1627668","Breanna Stewart","NYL",2026-05-08 15:46:44.877917,"dk",0.1739,475,-0.0396,-0.024,-2.3981,0.1343,645,-2.03228813559322
2026-05-08,"CON @ NYL","1627668","Breanna Stewart","NYL",2026-05-08 15:46:44.877917,"fd",0.1724,480,-0.0381,-0.023,-2.3032,0.1343,645,-1.95186440677966
2026-05-08,"CON @ NYL","1627673","Jonquel Jones","NYL",2026-05-08 15:46:44.877917,"br",0.125,700,-0.0137,-0.0078,-0.7812,0.1113,798,-0.662033898305085
2026-05-08,"CON @ NYL","1627673","Jonquel Jones","NYL",2026-05-08 15:46:44.877917,"csr",0.1333,650,-0.0237,-0.0137,-1.3683,0.1096,812,-1.15957627118644
2026-05-08,"CON @ NYL","1627673","Jonquel Jones","NYL",2026-05-08 15:46:44.877917,"dk",0.1333,650,-0.0237,-0.0137,-1.3683,0.1096,812,-1.15957627118644
2026-05-08,"CON @ NYL","1627673","Jonquel Jones","NYL",2026-05-08 15:46:44.877917,"fd",0.1176,750,-0.008,-0.0046,-0.4551,0.1096,812,-0.385677966101695
2026-05-08,"WAS @ TOR","1642781","Georgia Amoore","WAS",2026-05-08 15:46:44.877917,"br",0.0909,1000,-0.044,-0.0242,-2.4224,0.0469,2034,-2.0528813559322
2026-05-08,"WAS @ TOR","1642781","Georgia Amoore","WAS",2026-05-08 15:46:44.877917,"csr",0.0833,1100,-0.0416,-0.0227,-2.2688,0.0417,2296,-1.92271186440678
2026-05-08,"WAS @ TOR","1642781","Georgia Amoore","WAS",2026-05-08 15:46:44.877917,"dk",0.0769,1200,-0.0352,-0.0191,-1.9058,0.0417,2296,-1.61508474576271
2026-05-08,"WAS @ TOR","1642781","Georgia Amoore","WAS",2026-05-08 15:46:44.877917,"fd",0.0769,1200,-0.0352,-0.0191,-1.9058,0.0417,2296,-1.61508474576271
2026-05-08,"WAS @ TOR","1642785","Sonia Citron","WAS",2026-05-08 15:46:44.877917,"br",0.1111,800,-0.0166,-0.0094,-0.9365,0.0945,959,-0.79364406779661
2026-05-08,"WAS @ TOR","1642785","Sonia Citron","WAS",2026-05-08 15:46:44.877917,"csr",0.1176,750,-0.0282,-0.016,-1.5981,0.0894,1018,-1.35432203389831
2026-05-08,"WAS @ TOR","1642785","Sonia Citron","WAS",2026-05-08 15:46:44.877917,"dk",0.1176,750,-0.0282,-0.016,-1.5981,0.0894,1018,-1.35432203389831
2026-05-08,"WAS @ TOR","1642785","Sonia Citron","WAS",2026-05-08 15:46:44.877917,"fd",0.1111,800,-0.0217,-0.0122,-1.2187,0.0894,1018,-1.03279661016949
2026-05-08,"WAS @ TOR","1642792","Kiki Iriafen","WAS",2026-05-08 15:46:44.877917,"br",0.1429,600,8e-04,4e-04,0.0441,0.1436,596,0.0373728813559322
2026-05-08,"WAS @ TOR","1642792","Kiki Iriafen","WAS",2026-05-08 15:46:44.877917,"csr",0.1429,600,0.0047,0.0027,0.2747,0.1476,578,0.232796610169492
2026-05-08,"WAS @ TOR","1642792","Kiki Iriafen","WAS",2026-05-08 15:46:44.877917,"dk",0.1333,650,0.0142,0.0082,0.8211,0.1476,578,0.695847457627119
2026-05-08,"WAS @ TOR","1642792","Kiki Iriafen","WAS",2026-05-08 15:46:44.877917,"fd",0.1429,600,0.0047,0.0027,0.2747,0.1476,578,0.232796610169492
2026-05-08,"WAS @ TOR","1643427","Lauren Betts","WAS",2026-05-08 15:46:44.877917,"br",0.0909,1000,-0.044,-0.0242,-2.4224,0.0469,2034,-2.0528813559322
2026-05-08,"WAS @ TOR","1643427","Lauren Betts","WAS",2026-05-08 15:46:44.877917,"dk",0.0909,1000,-0.0492,-0.027,-2.7043,0.0417,2296,-2.29177966101695
2026-05-08,"WAS @ TOR","1643427","Lauren Betts","WAS",2026-05-08 15:46:44.877917,"fd",0.0909,1000,-0.0492,-0.027,-2.7043,0.0417,2296,-2.29177966101695
2026-05-08,"WAS @ TOR","1631022","Shakira Austin","WAS",2026-05-08 15:46:44.877917,"br",0.1667,500,-0.0223,-0.0134,-1.3351,0.1444,592,-1.1314406779661
2026-05-08,"WAS @ TOR","1631022","Shakira Austin","WAS",2026-05-08 15:46:44.877917,"csr",0.1739,475,-0.0237,-0.0143,-1.4322,0.1503,566,-1.21372881355932
2026-05-08,"WAS @ TOR","1631022","Shakira Austin","WAS",2026-05-08 15:46:44.877917,"dk",0.1667,500,-0.0164,-0.0098,-0.985,0.1503,566,-0.834745762711864
2026-05-08,"WAS @ TOR","1631022","Shakira Austin","WAS",2026-05-08 15:46:44.877917,"fd",0.1667,500,-0.0164,-0.0098,-0.985,0.1503,566,-0.834745762711864
2026-05-08,"WAS @ TOR","1627700","Julie Allemand","TOR",2026-05-08 15:46:44.877917,"br",0.0769,1200,0.0092,0.005,0.4982,0.0861,1061,0.422203389830508
2026-05-08,"WAS @ TOR","1627700","Julie Allemand","TOR",2026-05-08 15:46:44.877917,"csr",0.0769,1200,0.0105,0.0057,0.5707,0.0875,1043,0.48364406779661
2026-05-08,"WAS @ TOR","1627700","Julie Allemand","TOR",2026-05-08 15:46:44.877917,"dk",0.0769,1200,0.0105,0.0057,0.5707,0.0875,1043,0.48364406779661
2026-05-08,"WAS @ TOR","1627700","Julie Allemand","TOR",2026-05-08 15:46:44.877917,"fd",0.0769,1200,0.0105,0.0057,0.5707,0.0875,1043,0.48364406779661
2026-05-08,"WAS @ TOR","1629497","Marina Mabrey","TOR",2026-05-08 15:46:44.877917,"br",0.1429,600,-0.0171,-0.01,-0.9997,0.1257,695,-0.847203389830509
2026-05-08,"WAS @ TOR","1629497","Marina Mabrey","TOR",2026-05-08 15:46:44.877917,"csr",0.129,675,0.0034,0.0019,0.1938,0.1324,655,0.164237288135593
2026-05-08,"WAS @ TOR","1629497","Marina Mabrey","TOR",2026-05-08 15:46:44.877917,"dk",0.125,700,0.0074,0.0042,0.4233,0.1324,655,0.358728813559322
2026-05-08,"WAS @ TOR","1629497","Marina Mabrey","TOR",2026-05-08 15:46:44.877917,"fd",0.125,700,0.0074,0.0042,0.4233,0.1324,655,0.358728813559322
2026-05-08,"WAS @ TOR","1628279","Brittney Sykes","TOR",2026-05-08 15:46:44.877917,"br",0.1,900,0.0242,0.0134,1.3434,0.1242,705,1.13847457627119
