"game_date","game","player_id","player_name","team_abbreviation","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model","units_standardized"
2026-05-08,"CON @ NYL","1642800","Aneesah Morrow","CON",2026-05-08 16:44:49.080749,"fd",0.2778,260,-0.0957,-0.0663,-6.6276,0.182,449,-3.09700934579439
2026-05-08,"CON @ NYL","1629568","Kennedy Burke","CON",2026-05-08 16:44:49.080749,"fd",0.1667,500,-0.0092,-0.0055,-0.5516,0.1575,535,-0.257757009345794
2026-05-08,"CON @ NYL","203398","Brittney Griner","CON",2026-05-08 16:44:49.080749,"fd",0.3704,170,-0.0624,-0.0496,-4.958,0.3079,225,-2.31682242990654
2026-05-08,"CON @ NYL","1629546","Marine Johannes","NYL",2026-05-08 16:44:49.080749,"fd",0.1724,480,-0.0736,-0.0445,-4.4486,0.0988,912,-2.07878504672897
2026-05-08,"CON @ NYL","204335","Betnijah Laney-Hamilton","NYL",2026-05-08 16:44:49.080749,"fd",0.1754,470,-0.0046,-0.0028,-0.2806,0.1708,485,-0.131121495327103
2026-05-08,"CON @ NYL","203822","Rebekah Gardner","NYL",2026-05-08 16:44:49.080749,"fd",0.1667,500,0.0322,0.0193,1.9339,0.1989,403,0.903691588785047
2026-05-08,"CON @ NYL","1627668","Breanna Stewart","NYL",2026-05-08 16:44:49.080749,"fd",0.3636,175,-0.0724,-0.0569,-5.6865,0.2913,243,-2.65724299065421
2026-05-08,"CON @ NYL","1627673","Jonquel Jones","NYL",2026-05-08 16:44:49.080749,"fd",0.2439,310,-0.0062,-0.0041,-0.4072,0.2377,321,-0.190280373831776
2026-05-08,"WAS @ TOR","1642781","Georgia Amoore","WAS",2026-05-08 16:44:49.080749,"fd",0.1429,600,-0.0544,-0.0317,-3.174,0.0884,1031,-1.48317757009346
2026-05-08,"WAS @ TOR","1642785","Sonia Citron","WAS",2026-05-08 16:44:49.080749,"fd",0.2083,380,-0.0188,-0.0119,-1.1874,0.1895,428,-0.554859813084112
2026-05-08,"WAS @ TOR","1642792","Kiki Iriafen","WAS",2026-05-08 16:44:49.080749,"fd",0.2703,270,0.0424,0.0291,2.9068,0.3127,220,1.35831775700935
2026-05-08,"WAS @ TOR","1643427","Lauren Betts","WAS",2026-05-08 16:44:49.080749,"fd",0.1667,500,-0.0782,-0.0469,-4.6932,0.0884,1031,-2.19308411214953
2026-05-08,"WAS @ TOR","1631022","Shakira Austin","WAS",2026-05-08 16:44:49.080749,"fd",0.3333,200,-0.015,-0.0112,-1.1214,0.3184,214,-0.524018691588785
