"game_date","game","shot_type","shot_game","run_timestamp_utc","site","prob_model","line_model","prob","line","edge","kelly","units","units_standardized"
2026-05-22,"CON @ SEA","two point field goal","CON @ SEA two point field goal",2026-05-22 20:51:16.082618,"dk",0.7607,-318,0.84,-525,-0.0793,-0.2479,-12.396,-9.684375
2026-05-22,"DAL @ ATL","three point field goal","DAL @ ATL three point field goal",2026-05-22 21:21:16.478034,"dk",0.2491,301,0.2597,285,-0.0106,-0.0072,-0.3592,-0.280625
2026-05-22,"GSV @ IND","three point field goal","GSV @ IND three point field goal",2026-05-22 21:21:16.478034,"dk",0.2644,278,0.3125,220,-0.0481,-0.035,-1.7495,-1.366796875
2026-05-22,"CON @ SEA","three point field goal","CON @ SEA three point field goal",2026-05-22 21:21:16.478034,"dk",0.2393,318,0.2381,320,0.0012,8e-04,0.0407,0.031796875
2026-05-22,"DAL @ ATL","two point field goal","DAL @ ATL two point field goal",2026-05-22 21:21:16.478034,"dk",0.7509,-301,0.8182,-450,-0.0673,-0.185,-9.2517,-7.227890625
2026-05-22,"GSV @ IND","two point field goal","GSV @ IND two point field goal",2026-05-22 21:21:16.478034,"dk",0.7356,-278,0.7619,-320,-0.0263,-0.0552,-2.7609,-2.156953125
2026-05-22,"CON @ SEA","two point field goal","CON @ SEA two point field goal",2026-05-22 21:21:16.478034,"dk",0.7607,-318,0.84,-525,-0.0793,-0.2479,-12.396,-9.684375
2026-05-22,"DAL @ ATL","three point field goal","DAL @ ATL three point field goal",2026-05-22 21:51:16.409004,"dk",0.2491,301,0.2597,285,-0.0106,-0.0072,-0.3592,-0.280625
2026-05-22,"GSV @ IND","three point field goal","GSV @ IND three point field goal",2026-05-22 21:51:16.409004,"dk",0.2644,278,0.3125,220,-0.0481,-0.035,-1.7495,-1.366796875
2026-05-22,"CON @ SEA","three point field goal","CON @ SEA three point field goal",2026-05-22 21:51:16.409004,"dk",0.2393,318,0.2381,320,0.0012,8e-04,0.0407,0.031796875
2026-05-22,"DAL @ ATL","two point field goal","DAL @ ATL two point field goal",2026-05-22 21:51:16.409004,"dk",0.7509,-301,0.8182,-450,-0.0673,-0.185,-9.2517,-7.227890625
2026-05-22,"GSV @ IND","two point field goal","GSV @ IND two point field goal",2026-05-22 21:51:16.409004,"dk",0.7356,-278,0.7619,-320,-0.0263,-0.0552,-2.7609,-2.156953125
2026-05-22,"CON @ SEA","two point field goal","CON @ SEA two point field goal",2026-05-22 21:51:16.409004,"dk",0.7607,-318,0.84,-525,-0.0793,-0.2479,-12.396,-9.684375
2026-05-22,"DAL @ ATL","three point field goal","DAL @ ATL three point field goal",2026-05-22 22:21:16.825837,"dk",0.2491,301,0.2597,285,-0.0106,-0.0072,-0.3592,-0.280625
2026-05-22,"GSV @ IND","three point field goal","GSV @ IND three point field goal",2026-05-22 22:21:16.825837,"dk",0.2644,278,0.3125,220,-0.0481,-0.035,-1.7495,-1.366796875
2026-05-22,"CON @ SEA","three point field goal","CON @ SEA three point field goal",2026-05-22 22:21:16.825837,"dk",0.2393,318,0.2381,320,0.0012,8e-04,0.0407,0.031796875
2026-05-22,"DAL @ ATL","two point field goal","DAL @ ATL two point field goal",2026-05-22 22:21:16.825837,"dk",0.7509,-301,0.8182,-450,-0.0673,-0.185,-9.2517,-7.227890625
2026-05-22,"GSV @ IND","two point field goal","GSV @ IND two point field goal",2026-05-22 22:21:16.825837,"dk",0.7356,-278,0.7619,-320,-0.0263,-0.0552,-2.7609,-2.156953125
2026-05-22,"CON @ SEA","two point field goal","CON @ SEA two point field goal",2026-05-22 22:21:16.825837,"dk",0.7607,-318,0.84,-525,-0.0793,-0.2479,-12.396,-9.684375
2026-05-22,"DAL @ ATL","three point field goal","DAL @ ATL three point field goal",2026-05-22 22:51:14.962653,"dk",0.2491,301,0.2597,285,-0.0106,-0.0072,-0.3592,-0.280625
2026-05-22,"GSV @ IND","three point field goal","GSV @ IND three point field goal",2026-05-22 22:51:14.962653,"dk",0.2644,278,0.3125,220,-0.0481,-0.035,-1.7495,-1.366796875
2026-05-22,"CON @ SEA","three point field goal","CON @ SEA three point field goal",2026-05-22 22:51:14.962653,"dk",0.2393,318,0.2381,320,0.0012,8e-04,0.0407,0.031796875
2026-05-22,"DAL @ ATL","two point field goal","DAL @ ATL two point field goal",2026-05-22 22:51:14.962653,"dk",0.7509,-301,0.8182,-450,-0.0673,-0.185,-9.2517,-7.227890625
2026-05-22,"GSV @ IND","two point field goal","GSV @ IND two point field goal",2026-05-22 22:51:14.962653,"dk",0.7356,-278,0.7619,-320,-0.0263,-0.0552,-2.7609,-2.156953125
2026-05-22,"CON @ SEA","two point field goal","CON @ SEA two point field goal",2026-05-22 22:51:14.962653,"dk",0.7607,-318,0.84,-525,-0.0793,-0.2479,-12.396,-9.684375
2026-05-22,"DAL @ ATL","three point field goal","DAL @ ATL three point field goal",2026-05-22 23:21:14.800625,"dk",0.2491,301,0.2597,285,-0.0106,-0.0072,-0.3592,-0.280625
2026-05-22,"GSV @ IND","three point field goal","GSV @ IND three point field goal",2026-05-22 23:21:14.800625,"dk",0.258,288,0.3125,220,-0.0545,-0.0396,-1.9801,-1.546953125
2026-05-22,"CON @ SEA","three point field goal","CON @ SEA three point field goal",2026-05-22 23:21:14.800625,"dk",0.2393,318,0.2381,320,0.0012,8e-04,0.0407,0.031796875
2026-05-22,"DAL @ ATL","two point field goal","DAL @ ATL two point field goal",2026-05-22 23:21:14.800625,"dk",0.7509,-301,0.8182,-450,-0.0673,-0.185,-9.2517,-7.227890625
2026-05-22,"GSV @ IND","two point field goal","GSV @ IND two point field goal",2026-05-22 23:21:14.800625,"dk",0.742,-288,0.7619,-320,-0.02,-0.0419,-2.0951,-1.636796875
2026-05-22,"CON @ SEA","two point field goal","CON @ SEA two point field goal",2026-05-22 23:21:14.800625,"dk",0.7607,-318,0.84,-525,-0.0793,-0.2479,-12.396,-9.684375
2026-05-22,"CON @ SEA","three point field goal","CON @ SEA three point field goal",2026-05-22 23:51:15.146899,"dk",0.2393,318,0.2381,320,0.0012,8e-04,0.0407,0.031796875
2026-05-22,"CON @ SEA","two point field goal","CON @ SEA two point field goal",2026-05-22 23:51:15.146899,"dk",0.7607,-318,0.84,-525,-0.0793,-0.2479,-12.396,-9.684375
2026-05-22,"CON @ SEA","three point field goal","CON @ SEA three point field goal",2026-05-23 00:21:16.307284,"dk",0.2393,318,0.2381,320,0.0012,8e-04,0.0407,0.031796875
2026-05-22,"CON @ SEA","two point field goal","CON @ SEA two point field goal",2026-05-23 00:21:16.307284,"dk",0.7607,-318,0.84,-525,-0.0793,-0.2479,-12.396,-9.684375
2026-05-22,"CON @ SEA","three point field goal","CON @ SEA three point field goal",2026-05-23 00:51:16.319362,"dk",0.2393,318,0.2381,320,0.0012,8e-04,0.0407,0.031796875
2026-05-22,"CON @ SEA","two point field goal","CON @ SEA two point field goal",2026-05-23 00:51:16.319362,"dk",0.7607,-318,0.84,-525,-0.0793,-0.2479,-12.396,-9.684375
2026-05-22,"CON @ SEA","three point field goal","CON @ SEA three point field goal",2026-05-23 01:21:20.012397,"dk",0.2527,296,0.2381,320,0.0146,0.0096,0.4792,0.374375
2026-05-22,"CON @ SEA","two point field goal","CON @ SEA two point field goal",2026-05-23 01:21:20.012397,"dk",0.7473,-296,0.84,-525,-0.0927,-0.2897,-14.4843,-11.315859375
2026-05-22,"CON @ SEA","three point field goal","CON @ SEA three point field goal",2026-05-23 01:51:18.490211,"dk",0.2553,292,0.2326,330,0.0227,0.0148,0.7402,0.57828125
2026-05-22,"CON @ SEA","two point field goal","CON @ SEA two point field goal",2026-05-23 01:51:18.490211,"dk",0.7447,-292,0.84,-525,-0.0953,-0.2978,-14.8876,-11.6309375
2026-05-22,"CON @ SEA","three point field goal","CON @ SEA three point field goal",2026-05-23 02:21:19.724666,"dk",0.2553,292,0.2326,330,0.0227,0.0148,0.7402,0.57828125
2026-05-22,"CON @ SEA","two point field goal","CON @ SEA two point field goal",2026-05-23 02:21:19.724666,"dk",0.7447,-292,0.84,-525,-0.0953,-0.2978,-14.8876,-11.6309375
