"game_date","game","player_id","player_name","team_abbreviation","shot_type","shot_player","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model","units_standardized"
2026-06-05,"DAL @ LAS","1629481","Arike Ogunbowale","DAL","three point field goal","Arike Ogunbowale three point field goal",2026-06-05 15:51:23.701712,"dk",0.0714,1300,-0.0126,-0.0068,-0.6793,0.0588,1600,-0.492246376811594
2026-06-05,"DAL @ LAS","1629481","Arike Ogunbowale","DAL","two point field goal","Arike Ogunbowale two point field goal",2026-06-05 15:51:23.701712,"dk",0.1176,750,0.0269,0.0153,1.5264,0.1446,592,1.10608695652174
2026-06-05,"DAL @ LAS","1629491","Jessica Shepard","DAL","three point field goal","Jessica Shepard three point field goal",2026-06-05 15:51:23.701712,"dk",0.0152,6500,0.0178,0.0091,0.9058,0.033,2931,0.656376811594203
2026-06-05,"DAL @ LAS","1629491","Jessica Shepard","DAL","two point field goal","Jessica Shepard two point field goal",2026-06-05 15:51:23.701712,"dk",0.274,265,-0.1003,-0.0691,-6.9057,0.1737,476,-5.00413043478261
2026-06-05,"DAL @ LAS","1641652","Maddy Siegrist","DAL","three point field goal","Maddy Siegrist three point field goal",2026-06-05 15:51:23.701712,"dk",0.0476,2000,0.0043,0.0023,0.2261,0.0519,1826,0.163840579710145
2026-06-05,"DAL @ LAS","1641652","Maddy Siegrist","DAL","two point field goal","Maddy Siegrist two point field goal",2026-06-05 15:51:23.701712,"dk",0.1667,500,-0.0173,-0.0104,-1.0407,0.1493,570,-0.754130434782609
2026-06-05,"DAL @ LAS","1642784","Paige Bueckers","DAL","three point field goal","Paige Bueckers three point field goal",2026-06-05 15:51:23.701712,"dk",0.0714,1300,-0.0241,-0.013,-1.2959,0.0474,2011,-0.939057971014493
2026-06-05,"DAL @ LAS","1642784","Paige Bueckers","DAL","two point field goal","Paige Bueckers two point field goal",2026-06-05 15:51:23.701712,"dk",0.2222,350,-0.0473,-0.0304,-3.0405,0.1749,472,-2.20326086956522
2026-06-05,"DAL @ LAS","1643425","Azzi Fudd","DAL","three point field goal","Azzi Fudd three point field goal",2026-06-05 15:51:23.701712,"dk",0.0769,1200,-0.0039,-0.0021,-0.2087,0.0731,1269,-0.151231884057971
2026-06-05,"DAL @ LAS","1643425","Azzi Fudd","DAL","two point field goal","Azzi Fudd two point field goal",2026-06-05 15:51:23.701712,"dk",0.1429,600,-0.0521,-0.0304,-3.0364,0.0908,1001,-2.20028985507246
2026-06-05,"DAL @ LAS","203014","Nneka Ogwumike","LAS","three point field goal","Nneka Ogwumike three point field goal",2026-06-05 15:51:23.701712,"dk",0.0714,1300,-0.0071,-0.0038,-0.3829,0.0643,1455,-0.277463768115942
2026-06-05,"DAL @ LAS","203014","Nneka Ogwumike","LAS","two point field goal","Nneka Ogwumike two point field goal",2026-06-05 15:51:23.701712,"dk",0.2041,390,-0.0388,-0.0244,-2.4366,0.1653,505,-1.76565217391304
2026-06-05,"DAL @ LAS","204324","Dearica Hamby","LAS","three point field goal","Dearica Hamby three point field goal",2026-06-05 15:51:23.701712,"dk",0.0244,4000,0.0153,0.0078,0.7847,0.0397,2419,0.568623188405797
2026-06-05,"DAL @ LAS","204324","Dearica Hamby","LAS","two point field goal","Dearica Hamby two point field goal",2026-06-05 15:51:23.701712,"dk",0.274,265,-0.0851,-0.0586,-5.8607,0.1889,429,-4.24688405797101
