"game_date","game","quarter","team_abbreviation","quarter_team","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model","units_standardized"
2026-05-08,"CON @ NYL","1Q","NYL","1Q NYL",2026-05-08 15:46:44.98701,"fd",0.4902,104,-0.0291,-0.0286,-1.4284,0.4611,117,-0.927532467532467
2026-05-08,"WAS @ TOR","1Q","WAS","1Q WAS",2026-05-08 15:46:44.98701,"fd",0.5349,-115,-0.063,-0.0677,-3.3843,0.4719,112,-2.1975974025974
2026-05-08,"GSV @ SEA","1Q","SEA","1Q SEA",2026-05-08 15:46:44.98701,"fd",0.5968,-148,-0.0462,-0.0573,-2.8653,0.5506,-122,-1.86058441558442
2026-05-08,"CON @ NYL","1Q","CON","1Q CON",2026-05-08 15:46:44.98701,"fd",0.5745,-135,-0.0355,-0.0418,-2.0877,0.5389,-117,-1.35564935064935
2026-05-08,"GSV @ SEA","1Q","GSV","1Q GSV",2026-05-08 15:46:44.98701,"fd",0.4673,114,-0.0178,-0.0168,-0.8376,0.4494,122,-0.543896103896104
2026-05-08,"WAS @ TOR","1Q","TOR","1Q TOR",2026-05-08 15:46:44.98701,"fd",0.5305,-113,-0.0024,-0.0026,-0.1298,0.5281,-112,-0.0842857142857143
2026-05-08,"CON @ NYL","1Q","NYL","1Q NYL",2026-05-08 16:44:49.128413,"fd",0.4902,104,-0.0291,-0.0286,-1.4284,0.4611,117,-0.927532467532467
2026-05-08,"WAS @ TOR","1Q","WAS","1Q WAS",2026-05-08 16:44:49.128413,"fd",0.5349,-115,-0.063,-0.0677,-3.3843,0.4719,112,-2.1975974025974
2026-05-08,"GSV @ SEA","1Q","SEA","1Q SEA",2026-05-08 16:44:49.128413,"fd",0.5968,-148,-0.0462,-0.0573,-2.8653,0.5506,-122,-1.86058441558442
2026-05-08,"CON @ NYL","1Q","CON","1Q CON",2026-05-08 16:44:49.128413,"fd",0.5745,-135,-0.0355,-0.0418,-2.0877,0.5389,-117,-1.35564935064935
2026-05-08,"GSV @ SEA","1Q","GSV","1Q GSV",2026-05-08 16:44:49.128413,"fd",0.4673,114,-0.0178,-0.0168,-0.8376,0.4494,122,-0.543896103896104
