"date","book","game","game_id","prop_type","bet_level_1","bet_level_2","bet_level_3","bet_location","bet_status","prob_model","line_model","prob_book","line_book","edge","kelly","units","units_standardized","run_timestamp_utc","timestamp_id","play","result","units_bet","units_net","units_standardized_bet","units_standardized_net","unique_play"
2025-10-21,"Draft Kings","GSW @ LAL",22500002,"First Basket","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0909,1001,0.0641,1460,0.0267,0.0143,1.429,1.15241935483871,2025-10-21 18:08:34,1,"Draymond Green","Loss",1.429,-1.429,1.15241935483871,-1.15241935483871,"First Basket_Draymond Green_2025-10-21"
2025-10-21,"Draft Kings","GSW @ LAL",22500002,"First Basket","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0909,1001,0.0617,1520,0.0291,0.0155,1.5519,1.25153225806452,2025-10-21 20:32:24,2,"Draymond Green","Loss",0.1229,-0.1229,0.0991129032258065,-0.0991129032258065,"First Basket_Draymond Green_2025-10-21"
2025-10-21,"FanDuel","GSW @ LAL",22500002,"First Basket","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1186,743,0.0833,1100,0.0353,0.0193,1.9253,1.55266129032258,2025-10-21 23:01:45,1,"Jonathan Kuminga","Loss",1.9253,-1.9253,1.55266129032258,-1.55266129032258,"First Basket_Jonathan Kuminga_2025-10-21"
2025-10-21,"Caesars","GSW @ LAL",22500002,"First Basket","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0894,1018,0.0714,1300,0.018,0.0097,0.9687,0.781209677419355,2025-10-21 23:01:45,1,"Rui Hachimura","Loss",0.48435,-0.48435,0.390604838709677,-0.390604838709677,"First Basket_Rui Hachimura_2025-10-21"
2025-10-21,"ESPN","GSW @ LAL",22500002,"First Basket","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0894,1018,0.0714,1300,0.018,0.0097,0.9687,0.781209677419355,2025-10-21 23:01:45,1,"Rui Hachimura","Loss",0.48435,-0.48435,0.390604838709677,-0.390604838709677,"First Basket_Rui Hachimura_2025-10-21"
2025-10-21,"Draft Kings","GSW @ LAL",22500002,"First Basket by Team","First FGM","Player","Team","Home/Away","Favorite/Underdog",0.1938,416,0.1538,550,0.0399,0.0236,2.3606,1.276,2025-10-21 21:13:08,3,"Draymond Green","Loss",2.3606,-2.3606,1.276,-1.276,"First Basket by Team_Draymond Green_2025-10-21"
2025-10-21,"FanDuel","GSW @ LAL",22500002,"First Basket by Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1264,691,0.1111,800,0.0153,0.0086,0.859,0.464324324324324,2025-10-21 21:13:08,1,"Gabe Vincent","Loss",0.859,-0.859,0.464324324324324,-0.464324324324324,"First Basket by Team_Gabe Vincent_2025-10-21"
2025-10-21,"FanDuel","GSW @ LAL",22500002,"First Basket by Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.2606,284,0.1695,490,0.0911,0.0548,5.484,2.96432432432432,2025-10-21 23:01:45,1,"Jonathan Kuminga","Loss",5.484,-5.484,2.96432432432432,-2.96432432432432,"First Basket by Team_Jonathan Kuminga_2025-10-21"
2025-10-21,"FanDuel","GSW @ LAL",22500002,"First Basket by Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1641,509,0.1429,600,0.0213,0.0124,1.242,0.671351351351351,2025-10-22 00:33:41,1,"Rui Hachimura","Loss",1.242,-1.242,0.671351351351351,-0.671351351351351,"First Basket by Team_Rui Hachimura_2025-10-21"
2025-10-21,"Draft Kings","GSW @ LAL",22500002,"First Basket by Team Exact","First FGM","Player","Team Exact","Home/Away","Favorite/Underdog",0.1064,840,0.0909,1000,0.0155,0.0085,0.8533,0.618333333333333,2025-10-21 21:45:04,1,"Draymond Green two point field goal","Loss",0.8533,-0.8533,0.618333333333333,-0.618333333333333,"First Basket by Team Exact_Draymond Green two point field goal_2025-10-21"
